rank	domain	go_term	p_value	adj_p_value	odds_ratio	hyper_score	domain_type	constituent_domains	n_observations
65	IPR013087,IPR013087	GO:0005634	4.122726e-295	1.229697e-287	27.1344	100.00	supra_pair	IPR013087,IPR013087	764
66	IPR036236,IPR013087	GO:0005634	5.712843e-294	1.667730e-286	31.0259	100.00	supra_pair	IPR036236,IPR013087	732
67	IPR036236	GO:0005634	7.276967e-294	1.159765e-286	26.4306	100.00	single	-	767
68	IPR036236,IPR013087,IPR013087	GO:0005634	1.326650e-293	3.792158e-286	32.3343	100.00	supra_triple	IPR036236,IPR013087,IPR013087	723
69	IPR013087,IPR036236	GO:0005634	2.097954e-289	5.874504e-282	31.4491	100.00	supra_pair	IPR013087,IPR036236	718
70	IPR013087,IPR013087,IPR036236	GO:0005634	3.971251e-287	1.089755e-279	31.6730	100.00	supra_triple	IPR013087,IPR013087,IPR036236	711
71	IPR013087,IPR036236,IPR013087	GO:0005634	6.727839e-287	1.809992e-279	32.6019	100.00	supra_triple	IPR013087,IPR036236,IPR013087	705
72	IPR017452,IPR000276	GO:0005886	5.818927e-279	1.535362e-271	84.0251	100.00	supra_pair	IPR017452,IPR000276	550
73	IPR011009,IPR000719	GO:0004674	6.982224e-279	1.807545e-271	188.3672	100.00	supra_pair	IPR011009,IPR000719	334
74	IPR011009	GO:0106310	3.768998e-276	5.720794e-269	1044.4933	100.00	single	-	523
75	IPR001356	GO:0000981	1.216381e-274	1.762369e-267	329.0662	100.00	single	-	253
76	IPR000719,IPR017441,IPR008271	GO:0004674	1.482258e-273	3.766182e-266	484.8598	100.00	supra_triple	IPR000719,IPR017441,IPR008271	205
77	IPR001356,IPR001356	GO:0000981	2.114898e-273	5.275919e-266	352.8256	100.00	supra_pair	IPR001356,IPR001356	250
78	IPR000719	GO:0006468	7.145560e-268	9.902803e-261	306.2656	100.00	single	-	480
79	IPR011009	GO:0006468	9.098260e-267	1.208361e-259	297.8954	100.00	single	-	523
80	IPR011009,IPR000719,IPR000719	GO:0004674	7.993002e-265	1.958363e-257	399.6235	100.00	supra_triple	IPR011009,IPR000719,IPR000719	210
81	IPR005225	GO:0003924	1.485504e-263	1.894016e-256	1176.8593	100.00	single	-	163
82	IPR009057,IPR001356	GO:0000981	3.769039e-262	9.072502e-255	312.2047	100.00	supra_pair	IPR009057,IPR001356	243
83	IPR000719,IPR000719	GO:0106310	1.598696e-258	3.781893e-251	529.3139	100.00	supra_pair	IPR000719,IPR000719	365
84	IPR001909	GO:0000981	2.615570e-258	3.206585e-251	53.6080	100.00	single	-	378
85	IPR001909,IPR001909	GO:0000981	5.954162e-256	1.384650e-248	57.8876	100.00	supra_pair	IPR001909,IPR001909	361
86	IPR001356	GO:0000785	8.892169e-253	1.049769e-245	166.8813	100.00	single	-	253
87	IPR000276	GO:0007186	1.501654e-252	1.709471e-245	49.1703	100.00	single	-	708
88	IPR036051	GO:0000981	1.761301e-252	1.935911e-245	53.2377	100.00	single	-	370
89	IPR001909,IPR001909,IPR001909	GO:0000981	2.637138e-251	6.030494e-244	57.8727	100.00	supra_triple	IPR001909,IPR001909,IPR001909	354
90	IPR001356,IPR001356	GO:0000785	3.500603e-251	7.873800e-244	171.3912	100.00	supra_pair	IPR001356,IPR001356	250
91	IPR017452	GO:0007186	1.427837e-249	1.517075e-242	47.4506	100.00	single	-	724
92	IPR000719	GO:0106310	1.134135e-247	1.166146e-240	434.2037	100.00	single	-	480
93	IPR000276,IPR000276	GO:0007186	7.766086e-246	1.718628e-238	53.7735	100.00	supra_pair	IPR000276,IPR000276	597
94	IPR036179	GO:0005886	3.812610e-245	3.797713e-238	14.7368	100.00	single	-	785
95	IPR013783	GO:0005886	2.092079e-244	2.020756e-237	9.7145	100.00	single	-	1020
96	IPR009057	GO:0000981	4.960463e-241	4.650429e-234	69.7816	100.00	single	-	313
97	IPR001806	GO:0003924	2.703125e-240	2.461772e-233	2652.2724	100.00	single	-	137
98	IPR009057,IPR001356	GO:0000785	4.298419e-240	9.361372e-233	157.7270	100.00	supra_pair	IPR009057,IPR001356	243
99	IPR001356,IPR001356,IPR001356	GO:0000981	6.562788e-239	1.406953e-231	504.3651	100.00	supra_triple	IPR001356,IPR001356,IPR001356	212
100	IPR000725	GO:0050911	5.001394e-237	4.428313e-230	3036.7840	100.00	single	-	424
