# entries=575503 taxon=9606 taxon_entries=20431
database	id_type	n_proteins	n_distinct_terms	proteins_per_term	example
PAN-GO	6 GO annotations based on evolutionary models	1253	1253	1.00	Q9Y3L3
CPTAC		1213	2658	0.46	CPTAC-142
CPTAC	-	1213	2658	0.46	CPTAC-142
SABIO-RK		975	975	1.00	P14060
SABIO-RK	-	975	975	1.00	P14060
ELM		974	974	1.00	P31946
ELM	-	974	974	1.00	P31946
Agora	Agora Nominated Target for Alzheimer's Disease	940	938	1.00	ENSG00000130313
IDEAL		899	899	1.00	IID00038
IDEAL	-	899	899	1.00	IID00038
MEROPS		858	891	0.96	I21.001
MEROPS	-	858	891	0.96	I21.001
PAN-GO	7 GO annotations based on evolutionary models	753	753	1.00	P30153
Pharos	Tclin	704	704	1.00	P26439
SwissLipids		601	649	0.93	SLP:000001297
PRIDE		568	568	1.00	P31946
PRIDE	-	568	568	1.00	P31946
CIViC		566	561	1.01	5518
PAN-GO	8 GO annotations based on evolutionary models	484	484	1.00	P08908
SASBDB		481	481	1.00	P31946
SASBDB	-	481	481	1.00	P31946
CarbonylDB		462	462	1.00	P02763
CarbonylDB	-	462	462	1.00	P02763
REPRODUCTION-2DPAGE		445	521	0.85	IPI00216318
REPRODUCTION-2DPAGE	-	445	521	0.85	IPI00216318
HAMAP		428	359	1.19	MF_00825
CPTC		406	406	1.00	P31946
OGP		373	373	1.00	P31946
OGP	-	373	373	1.00	P31946
PAN-GO	9 GO annotations based on evolutionary models	330	330	1.00	P41595
MoonDB		282	282	1.00	P62258
IMGT_GENE-DB		267	267	1.00	IGHD1-1
IMGT_GENE-DB	-	267	267	1.00	IGHD1-1
DEPOD		254	253	1.00	NT5C1A
DEPOD	-	254	253	1.00	NT5C1A
MoonDB	Predicted	235	235	1.00	P62258
CAZy		230	79	2.91	GT32
PAN-GO	10 GO annotations based on evolutionary models	199	199	1.00	P28223
CPTC	1 antibody	186	186	1.00	P21589
SFLD		125	69	1.81	SFLDG01128
ESTHER		121	120	1.01	human-AADAC
UniLectin		114	114	1.00	O00468
UniLectin	-	114	114	1.00	O00468
PAN-GO	11 GO annotations based on evolutionary models	108	108	1.00	Q8WXA8
MoonProt		102	102	1.00	Q9BYF1
MoonProt	-	102	102	1.00	Q9BYF1
CPTC	3 antibodies	93	93	1.00	P31946
NIAGADS		76	76	1.00	ENSG00000142192
NIAGADS	-	76	76	1.00	ENSG00000142192
CPTC	2 antibodies	69	69	1.00	Q04828
PAN-GO	12 GO annotations based on evolutionary models	57	57	1.00	Q15822
Allergome		48	44	1.09	9621
